col_id	uuid	name	sex	det	fam	ord	rank
JPL_A138	TSZ-JPL-468d64cc-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A138	TSZ-JPL-468d64cb-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A138	TSZ-JPL-468d64cd-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A138	TSZ-JPL-468d3dcf-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A138	TSZ-JPL-468d64c9-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A138	TSZ-JPL-468d64cf-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A138	TSZ-JPL-468d64c7-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A138	TSZ-JPL-468d64c8-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A138	TSZ-JPL-468d64ce-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A138	TSZ-JPL-468d64ca-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A138	TSZ-JPL-468d3dd4-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A138	TSZ-JPL-468d3dd0-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A138	TSZ-JPL-468d3dd1-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A138	TSZ-JPL-468d3dd2-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A138	TSZ-JPL-468d3dd3-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A138	TSZ-JPL-468d64c6-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A139	TSZ-JPL-468d16f1-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A139	TSZ-JPL-468d16f6-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A139	TSZ-JPL-468d3dcb-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A139	TSZ-JPL-468d3dca-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A139	TSZ-JPL-468d16f3-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A139	TSZ-JPL-468d3dcd-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A139	TSZ-JPL-468d16f4-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A139	TSZ-JPL-468d16f2-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A139	TSZ-JPL-468d3dcc-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468ca210-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468cefed-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468cefee-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468cc907-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468cc901-e2ec-11e9-8a77-774a912b890a	empty					other
